Instance	Run	Seed	Ants	Iterations	Alpha	Beta	Rho	Candidate Cap	Exploitation	Memory	Local Search	Elite Carryover	Score	Output
australia_iptv	r11	211	12	10	1.3	2.0	0.10	10	0.80	0.50	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r11_<score>.json
australia_iptv	r12	212	14	10	1.0	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r12_<score>.json
australia_iptv	r13	213	14	10	1.3	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r13_<score>.json
australia_iptv	r14	214	16	10	1.3	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r14_<score>.json
australia_iptv	r15	215	14	12	1.3	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r15_<score>.json
australia_iptv	r16	216	16	12	1.3	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r16_<score>.json
australia_iptv	r17	217	14	10	1.4	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r17_<score>.json
australia_iptv	r18	218	16	10	1.4	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r18_<score>.json
australia_iptv	r19	219	14	10	1.3	2.0	0.10	10	0.80	0.50	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r19_<score>.json
australia_iptv	r20	220	14	10	1.3	2.0	0.15	12	0.80	0.50	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r20_<score>.json
australia_iptv	r21	221	14	10	1.3	2.0	0.15	10	0.85	0.70	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r21_<score>.json
australia_iptv	r22	222	16	10	1.3	2.0	0.15	10	0.85	0.70	weakest-window ACO	on		australia_iptv_output_aco_localsearch_rank_r22_<score>.json
canada_pw	r11	311	12	10	1.3	2.0	0.10	10	0.80	0.50	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r11_<score>.json
canada_pw	r12	312	14	10	1.0	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r12_<score>.json
canada_pw	r13	313	14	10	1.3	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r13_<score>.json
canada_pw	r14	314	16	10	1.3	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r14_<score>.json
canada_pw	r15	315	14	12	1.3	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r15_<score>.json
canada_pw	r16	316	16	12	1.3	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r16_<score>.json
canada_pw	r17	317	14	10	1.4	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r17_<score>.json
canada_pw	r18	318	16	10	1.4	2.0	0.15	10	0.80	0.50	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r18_<score>.json
canada_pw	r19	319	14	10	1.3	2.0	0.10	10	0.80	0.50	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r19_<score>.json
canada_pw	r20	320	14	10	1.3	2.0	0.15	12	0.80	0.50	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r20_<score>.json
canada_pw	r21	321	14	10	1.3	2.0	0.15	10	0.85	0.70	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r21_<score>.json
canada_pw	r22	322	16	10	1.3	2.0	0.15	10	0.85	0.70	weakest-window ACO	on		canada_pw_output_aco_localsearch_rank_r22_<score>.json
